Jahr,PLZ,GA,GA_flag,HTA,HTA_flag
2012,1589,9.86,1,33.00,
2012,1595,46.00,,207.00,
2012,1607,100.00,,405.00,
2012,1608,38.00,,144.00,
2012,1609,9.86,1,120.00,
2012,1610,87.00,,394.00,
2012,1611,9.86,1,27.00,
2012,1612,34.00,,77.00,
2012,1613,24.00,,121.00,
2012,1614,38.00,,178.00,
2012,1615,54.00,,237.00,
2012,1616,104.00,,460.00,
2012,1617,47.00,,227.00,
2012,1618,149.00,,769.00,
2012,1619,20.00,,128.00,
2012,1623,24.00,,158.00,
2012,1624,9.86,1,73.00,
2012,1625,9.86,1,78.00,
2012,1626,9.86,1,50.00,
2012,1627,9.86,1,106.00,
2012,1628,40.00,,202.00,
2012,1630,349.00,,2362.00,
2012,1632,38.00,,259.00,
2012,1633,50.00,,232.00,
2012,1634,35.00,,139.00,
2012,1635,74.00,,515.00,
2012,1636,43.00,,262.00,
2012,1637,9.86,1,273.00,
2012,1638,9.86,1,81.00,
2012,1642,9.86,1,113.00,
2012,1643,9.86,1,89.00,
2012,1644,9.86,1,91.00,
2012,1645,9.86,1,26.00,
2012,1646,9.86,1,89.00,
2012,1647,9.86,1,56.00,
2012,1648,9.86,1,81.00,
2012,1649,9.86,1,66.00,
2012,1651,9.86,1,11.43,2
2012,1652,9.86,1,38.00,
2012,1653,9.86,1,87.00,
2012,1654,9.86,1,44.00,
2012,1656,9.86,1,92.00,
2012,1657,9.86,1,11.43,2
2012,1658,23.00,,104.00,
2012,1659,25.00,,283.00,
2012,1660,152.00,,801.00,
2012,1661,23.00,,151.00,
2012,1663,35.00,,233.00,
2012,1665,9.86,1,41.00,
2012,1666,9.86,1,73.00,
2012,1667,9.86,1,69.00,
2012,1669,41.00,,203.00,
2012,1670,51.00,,163.00,
2012,1673,64.00,,233.00,
2012,1674,9.86,1,72.00,
2012,1675,39.00,,115.00,
2012,1676,9.86,1,35.00,
2012,1677,23.00,,41.00,
2012,1678,38.00,,113.00,
2012,1679,9.86,1,39.00,
2012,1680,274.00,,813.00,
2012,1681,20.00,,96.00,
2012,1682,34.00,,128.00,
2012,1683,9.86,1,77.00,
2012,1684,9.86,1,106.00,
2012,1685,9.86,1,41.00,
2012,1686,9.86,1,26.00,
2012,1687,32.00,,92.00,
2012,1688,9.86,1,33.00,
2012,1689,9.86,1,37.00,
2012,1690,68.00,,223.00,
2012,1691,9.86,1,82.00,
2012,1692,9.86,1,46.00,
2012,1694,37.00,,133.00,
2012,1695,32.00,,140.00,
2012,1696,23.00,,89.00,
2012,1697,9.86,1,36.00,
2012,1699,28.00,,111.00,
2012,1700,3184.00,,10683.00,
2012,1712,134.00,,723.00,
2012,1713,35.00,,296.00,
2012,1714,65.00,,358.00,
2012,1715,45.00,,337.00,
2012,1716,77.00,,481.00,
2012,1717,56.00,,253.00,
2012,1718,38.00,,207.00,
2012,1719,29.00,,151.00,
2012,1720,113.00,,491.00,
2012,1721,28.00,,163.00,
2012,1722,49.00,,225.00,
2012,1723,385.00,,1726.00,
2012,1724,91.00,,451.00,
2012,1725,29.00,,210.00,
2012,1726,41.00,,247.00,
2012,1727,9.86,1,153.00,
2012,1728,26.00,,182.00,
2012,1730,40.00,,130.00,
2012,1731,33.00,,150.00,
2012,1732,22.00,,112.00,
2012,1733,24.00,,149.00,
2012,1734,55.00,,197.00,
2012,1735,37.00,,257.00,
2012,1736,22.00,,91.00,
2012,1737,35.00,,141.00,
2012,1738,9.86,1,27.00,
2012,1740,96.00,,474.00,
2012,1741,44.00,,210.00,
2012,1742,21.00,,93.00,
2012,1744,22.00,,94.00,
2012,1745,22.00,,125.00,
2012,1746,26.00,,120.00,
2012,1747,9.86,1,38.00,
2012,1748,9.86,1,42.00,
2012,1749,9.86,1,53.00,
2012,1752,677.00,,2730.00,
2012,1753,48.00,,255.00,
2012,1754,60.00,,306.00,
2012,1756,32.00,,144.00,
2012,1757,9.86,1,103.00,
2012,1762,85.00,,481.00,
2012,1763,154.00,,522.00,
2012,1772,72.00,,362.00,
2012,1773,39.00,,149.00,
2012,1774,33.00,,129.00,
2012,1775,9.86,1,46.00,
2012,1776,9.86,1,64.00,
2012,1782,138.00,,673.00,
2012,1783,24.00,,98.00,
2012,1784,53.00,,302.00,
2012,1785,52.00,,190.00,
2012,1786,106.00,,353.00,
2012,1787,29.00,,136.00,
2012,1788,9.86,1,90.00,
2012,1789,59.00,,316.00,
2012,1791,53.00,,219.00,
2012,1792,51.00,,240.00,
2012,1793,22.00,,105.00,
2012,1794,25.00,,149.00,
2012,1795,9.86,1,45.00,
2012,1796,57.00,,260.00,
2012,1797,29.00,,127.00,
2012,1800,1140.00,,6020.00,
2012,1801,58.00,,292.00,
2012,1802,97.00,,783.00,
2012,1803,98.00,,516.00,
2012,1804,114.00,,595.00,
2012,1805,53.00,,400.00,
2012,1806,192.00,,1552.00,
2012,1807,217.00,,1806.00,
2012,1808,26.00,,192.00,
2012,1809,9.86,1,11.43,2
2012,1814,591.00,,3261.00,
2012,1815,380.00,,1839.00,
2012,1816,26.00,,217.00,
2012,1817,62.00,,277.00,
2012,1820,678.00,,3809.00,
2012,1822,106.00,,696.00,
2012,1823,34.00,,285.00,
2012,1824,9.86,1,132.00,
2012,1832,22.00,,182.00,
2012,1833,33.00,,178.00,
2012,1844,195.00,,1112.00,
2012,1845,28.00,,180.00,
2012,1846,9.86,1,73.00,
2012,1847,9.86,1,132.00,
2012,1852,39.00,,233.00,
2012,1853,57.00,,244.00,
2012,1854,106.00,,1655.00,
2012,1856,9.86,1,109.00,
2012,1860,536.00,,2115.00,
2012,1862,9.86,1,73.00,
2012,1863,21.00,,99.00,
2012,1864,9.86,1,55.00,
2012,1865,44.00,,275.00,
2012,1866,9.86,1,45.00,
2012,1867,309.00,,979.00,
2012,1868,159.00,,584.00,
2012,1869,45.00,,251.00,
